SID,altSID,name,guidanceLevel
24744,,ROUND LAKE (POLK),126.5
24745,,RIVER LAKE,136
24746,,LAKE WINTERSET,129.5
24751,,LAKE SHIPP,129.5
24756,,LAKE ELOISE,129.5
24774,,MILLSITE LAKE,121
24783,,GRASSY LAKE I,126.5
24786,,BANANA LAKE AT BOAT RAMP,103.5
24789,,LAKE TRASK,108
24794,,LAKE HENRY NR FORT MEADE,156
24795,,LAKE BUFFUM,129.25
24810,,SURVEYORS LAKE,130.75
24812,,POLECAT LAKE,139.5
24814,,GATOR LAKE,130.75
24816,,LAKE WALKER,137
24818,,LAKE GARFIELD,101
24844,,MIDDLE LAKE HAMILTON (USED LAKE HAMILTON),119
24844,,LITTLE LAKE HAMILTON (USED LAKE HAMILTON),119
24844,,LAKE HAMILTON NORTH,119
24846,,LAKE HOWARD,129.5
24847,,LAKE MAY,129.5
24849,,SPRING LAKE,129.5
24850,,LAKE MIRROR I,129.5
24852,,LAKE CANNON,129.5
24853,,LAKE IDYLWILD,129.5
24854,,LAKE IDA (WINTER HAVEN),132
24855,,LAKE HARTRIDGE,129.5
24857,,LAKE PANSY,126.5
24858,,SEARS LAKE,138
24859,,SPIRIT LAKE,129
24860,,THOMAS LAKE I,128
24863,,LAKE DEER,138.5
24882,,BLUE LAKE NR AUBURNDALE,146.5
24889,,LAKE JESSIE,129.5
24894,24893,LAKE LENA,134.5
24902,,CRYSTAL LAKE (LAKELAND),127
24903,,LAKE BONNY,128
25228,,LAKE HAINES,126.5
25229,,LAKE ALFRED,128.25
25230,,LAKE SWOOPE,130
25232,,CYPRESS LAKE,95
25233,,PARKS LAKE,100
25237,,BIG GUM LAKE,92
25238,,LITTLE GUM LAKE,94
25264,,LAKE MYRTLE (ASHTON) NORTH,116.5
25300,,LAKE LEE,116
25303,,LAKE RUBY,123
25304,,LAKE BESS,123
25306,,LAKE FOX,132
25312,,LAKE DEXTER,129
25315,,LAKE JOSEPHINE,118
25316,,LAKE ADA,120
25319,,LAKE RUTH I,117.5
25320,,LAKE MENZIE,120
25321,,LAKE DELL,121.5
25323,,LAKE MARIE,118
25329,,CRYSTAL LAKE II,119
25335,,LAKE GORDON,116
25336,,LAKE SARA,119
25338,,REEDY LAKE,77.25
25345,,LAKE EFFIE,115
25346,,LAKE COOPER (WORTH),121
25348,,LAKE WEADER,119
25349,,TWIN LAKE (WEST),120
25362,,LAKE DAISY,127
25363,,NED LAKE,126
25364,,LAKE FLORENCE,127
25366,,LAKE SUMMIT,129.5
25368,,LAKE ROY,129.5
25369,,LAKE LULU,129.5
25371,,LAKE OTIS,125
25372,,LAKE MARIAM,122.75
25373,,LAKE LINK,125
25375,,LAKE MAUDE,137.5
25376,,LAKE MARTHA,139
25377,,LAKE ELBERT,133
25379,,LAKE IDYL,131.5
25381,,LAKE SMART,126.5
25382,,LAKE BUCKEYE,126
25384,25168,LAKE FANNIE,123.5
25389,,LAKE CONINE,126.5
25390,,LAKE ECHO,128
25391,,LAKE ROCHELLE,126.5
25400,,HICKORY LAKE,96
25403,,SILVER LAKE,100.5
25405,,BUCK LAKE (HIGHLANDS),91.5
25406,,GRASSY LAKE (HIGHLANDS),88.5
25406,,UNNAMED B GRASSY,88.5
25415,,MIRROR LAKE,90
25417,,LAKE MCCOY,84
25420,,LAKE SIRENA,84
25422,,SADDLEBAGS LAKE,81
25444,,LOST LAKE,84
25452,,LAKE CLAY,76
25453,,BLUE LAKE,75
25460,,LAKE APTHORPE,68
25464,,LAKE LACHARD,76
25466,,LAKE CREWS,117
25472,,RED BEACH LAKE,73.75
25483,,WOLF LAKE,90
25484,,HUCKLEBERRY LAKE,102
25511,,LITTLE BONNET LAKE,97
25512,,LAKE GLENADA,117
25518,,LAKE LELIA,112.5
25534,,LAKE VIOLA,105.75
25535,,PIONEER LAKE,104.5
25538,,LAKE PYTHIAS,98
25540,,LAKE BYRD,105.5
670230,19240,WHITE TROUT LAKE,34
670276,,LAKE BELLE 2,117
720334,17573,LAKE SANITARY (MARIANA),135
721835,,LAKE PEARL SW,84
722832,,MOODY LAKE EAST 1,107.5
741468,18292,ST CLAIR LAKE WQ,110.5
754183,25451,LAKE HUNTLEY,81
759479,23849,LAKE MOODY,91
759480,24851,LAKE SILVER,144
763459,,LAKE FRANCES (HILLSBOROUGH),38
783344,23549,LAKE FRANCIS (HERNANDO) LWG,57
783344,23549,LAKE ELIZABETH (USED FRANCIS),57
783344,23549,LAKE GENEVA (USED FRANCIS),57
783574,19636,MOSS LAKE,61.5
